year,avgRating,recordNum
1919,3.4667,45
1920,3.6667,24
1921,3.7903,62
1922,3.9916,238
1923,3.1176,17
1925,4.0410,561
1926,3.9640,472
1927,4.2778,252
1928,3.8889,27
1929,3.1628,43
1930,4.0812,382
1931,4.0974,1273
1932,3.6532,372
1933,3.8660,1605
1934,4.0824,1044
1935,4.0466,945
1936,4.0414,628
1937,3.8858,1419
1938,4.0720,1277
1939,4.1015,3784
1940,3.9885,4431
1941,4.1798,3442
1942,4.1035,3313
1943,3.7452,624
1944,4.0784,2476
1945,3.7701,931
1946,4.1627,2533
1947,3.8599,985
1948,4.0298,1701
1949,4.0416,985
1950,4.0054,2590
1951,4.0863,3869
1952,4.1265,1597
1953,3.8666,3172
1954,4.0455,4657
1955,3.8587,3511
1956,3.8175,2865
1957,4.1089,3352
1958,3.7472,4810
1959,4.0214,4809
1960,3.9266,3542
1961,3.8145,4846
1962,4.0886,4930
1963,3.9672,6288
1964,3.9220,4296
1965,3.7953,3649
1966,3.9373,2312
1967,3.9860,6407
1968,3.8198,7526
1969,3.9212,4759
1970,3.8573,4470
1971,3.8576,7529
1972,3.9464,6042
1973,3.8401,8617
1974,4.0082,10350
1975,3.8429,8402
1976,3.7938,6314
1977,3.9495,8527
1978,3.5779,8624
1979,3.7170,13677
1980,3.7309,16239
1981,3.7500,15346
1982,3.6704,18712
1983,3.6350,14197
1984,3.6299,27012
1985,3.4758,24794
1986,3.4860,30865
1987,3.6109,24770
1988,3.5429,24067
1989,3.5833,28054
1990,3.4398,30317
1991,3.5915,24783
1992,3.4443,37866
1993,3.5513,46317
1994,3.4869,52963
1995,3.4646,60754
1996,3.3885,59382
1997,3.4117,65402
1998,3.4577,68226
1999,3.4965,86833
2000,3.3733,41000
